is / it is / he is / she is,è
and,e
it is not,non è
normal,normale
general,generale
legal,legale
illegal,illegale
global,globale
plural,plurale
natural,naturale
ideal,ideale
original,originale
real / royal,reale
king,ré
the king,il ré
loyal,leale
-ly (adverb suffix),-mente
really,realmente
normally / usually,normalmente
generally,generalmente
possible,possibile
probable,probabile
probably,probabilmente
possibly,possibilmente
impossible,impossibile
incredible,incredibile
believable / credible,credibile
digital,digitale
I want,voglio
I don't want,non voglio
it,lo
I want it,lo voglio
to invite,invitare
to visit,visitare
to cancel,cancellare
to celebrate,celebrare
you (object),ti
I love you (lit. I want you well),ti voglio bene
well,bene
to donate,donare
to coordinate,coordinare
to terminate / to finish,terminare
to finish,finire
final,finale
to separate,separare
to use,usare
to imagine,immaginare
to cancel it,cancellarlo
to prepare,preparare
me / myself,mi
to get ready (lit. to prepare myself),prepararmi
to conform,conformare
with,con
to create,creare
to complicate,complicare
to fold,piegare
to invite you,invitarti
to demonstrate,dimostrare
of / from,di
to show,mostrare
the monster,il mostro
the capital,la capitale
mortal,mortale
to warn,avvertire
I must / I have to / I owe,devo
to cooperate,cooperare
to inform myself / to find out,informarmi
