to ventilate,ventilar
to separate,separar
to segregate,segregar
to breathe,respirar
to eat,comer
I eat,como
I am going to eat,voy a comer
late / afternoon,tarde
tomorrow / morning,mañana
more,más
later,más tarde
to have,tener
I have,tengo
to contain,contener
to obtain,obtener
to sustain,sostener
to maintain,mantener
to entertain,entretener
between,entre
I come,vengo
to organize,organizar
I organize,organizo
to donate,donar
I donate,dono
I create,creo
to tolerate,tolerar
to tweet,tuitear
to google,googlear
to eliminate / to delete,eliminar
to last,durar
a lot / much,mucho
to last a long time,durar mucho
to exaggerate,exagerar
to chew,masticar
to bite,morder
to collaborate,colaborar
to speak,hablar
I speak,hablo
to contaminate,contaminar
to sell,vender
I sell,vendo
diversity,diversidad
"-ity (noun suffix, feminine)",-idad
nationality,nacionalidad
creativity,creatividad
electricity,electricidad
electric,eléctrico
generosity,generosidad
generous,generoso
community,comunidad
common,común
opportunity,oportunidad
opportune / timely,oportuno
clarity,claridad
clear / of course,claro
personality,personalidad
person,persona
sincerity,sinceridad
sincere,sincero
association,asociación
administration,administración
us / ourselves / each other,nos
they sell it to me,me lo venden
to do / to make,hacer
"he/she/it does, you (formal) do",hace
what,qué
what are you doing? / how's it going?,¿qué haces?
I can / I am able,puedo
to be able / can,poder
to buy,comprar
I buy,compro
to arrive,llegar
I arrive,llego
to leave / to go out,salir
I leave / I go out,salgo
to wait / to hope,esperar
I wait / I hope,espero
vocabulary,vocabulario
mouth,boca
necessary,necesario
contrary,contrario
I know,sé
I know (it),lo sé
I don't know,no sé
he,él
she,ella
to have to,tener que
I have to,tengo que
"he/she has, you (formal) have",tiene
you (informal) have,tienes
they/you (plural) have,tienen
"he/she comes, you (formal) come",viene
you (informal) come,vienes
when,cuándo
I obtain,obtengo
to put,poner
I put,pongo
to compose,componer
to suppose,suponer
I suppose,supongo
I suppose so,supongo que sí
to impose,imponer
to expose,exponer
to oppose,oponer
to want,querer
time / weather,tiempo
concert,concierto
November,noviembre
to think,pensar
I think,pienso
I plan to eat (lit. I think to eat),pienso comer
to understand,entender
I understand,entiendo
to understand / to comprehend,comprender
to lose,perder
I lose,pierdo
to commence / to start,comenzar
to start / to begin,empezar
I start,empiezo
the power,el poder
port,puerto
rich / tasty / nice,rico
force / strength,fuerza
school,escuela
body,cuerpo
new,nuevo
village / people / town,pueblo
population,población
death,muerte
dead,muerto
to sleep,dormir
I sleep,duermo
I fall asleep,me duermo
to find / to encounter,encontrar
I find; an encounter,encuentro
sample; he/she shows,muestra
to hang,colgar
I hang,cuelgo
alcohol,alcohol
to take / to drink,tomar
I take / I drink,tomo
sugar,azúcar
rice,arroz
algebra,álgebra
oil,aceite
olive,aceituna
carpet,alfombra
pillow,almohada
to drink,beber
drink,bebida
what are you drinking/having?,¿qué tomas?
to prefer,preferir
I prefer,prefiero
we prefer,preferimos
to live,vivir
I live,vivo
here,aquí
here (Latin America),acá
summer,verano
where,dónde
always,siempre
